title,ingredients,directions,Search
Cauliflower And Broccoli Souflettes,"[""2 c. cauliflower"", ""2 c. broccoli"", ""4 Tbsp. margarine"", ""1/2 c. brown rice flour"", ""2 c. milk"", ""1/4 c. grated yellow cheese"", ""1 large egg, separated"", ""good pinch of nutmeg""]","[""Break the cauliflower and broccoli into small flowerets and steam until tender, 7 to 10 minutes."", ""Melt margarine; remove from heat."", ""Gradually add flour."", ""Stir to make a roux and add milk gradually, blending well until smooth."", ""Return pan to heat and stir until sauce thickens and comes to a boil."", ""Cool a little and add egg yolk and cheese."", ""Stir well and add nutmeg."", ""Whip the egg white until stiff and fold carefully into sauce."", ""Place vegetables into 6 small greased ramekin dishes and season."", ""Divide the sauce evenly between dishes and bake immediately in preheated 375\u00b0 oven for 35 minutes until puffed and golden."", ""Serve at once.""]",cauliflower+egg
Fried Cauliflower,"[""1 head cauliflower"", ""1 large egg"", ""1/3 c. milk"", ""1 c. flour"", ""salt to taste"", ""oil for frying""]","[""Wash cauliflower; cut in small pieces with stems."", ""Boil in small amount of water until about half done and still somewhat crisp."", ""Remove from heat; drain and cool just until it can be handled."", ""Dip cauliflower pieces, one at a time, into mixture made of the egg and milk."", ""Coat generously with flour to which desired amount of salt has been added."", ""Fry in hot oil."", ""(May use deep fryer or skillet with 1/2 inch of oil.)"", ""Brown lightly on both sides for approximately 5 minutes."", ""Ready to eat as finger food!""]",cauliflower+egg
24 Hour Salad,"[""1 head lettuce"", ""1 c. chopped onion"", ""1/2 c. bacon bits"", ""2 c. mayonnaise"", ""1 pkg. shredded Swiss cheese"", ""1 c. cauliflower (in pieces)"", ""1 c. chopped celery"", ""1 c. frozen peas"", ""3 Tbsp. sugar""]","[""Layer vegetables in large bowl."", ""Top with bacon bits."", ""Mix mayonnaise and sugar together and pour on top of salad, making sure top is covered completely."", ""Cover and place in refrigerator overnight."", ""Put shredded cheese on top just before serving.""]",cauliflower+onion
Broccoli-Cauliflower Soup,"[""1 lb. broccoli"", ""1 lb. cauliflower"", ""chicken broth, water or bouillon"", ""1/2 c. butter"", ""1 small onion, diced"", ""1/2 c. flour"", ""1 qt. milk"", ""1 c. grated sharp Cheddar cheese"", ""black pepper""]","[""Cut vegetables into small pieces, discarding any of the stem too tough to poke with a fingernail. Barely cover with broth and slowly cook until tender. In another pan, saut onion in butter or margarine on medium heat."", ""Add flour to make a roux; slowly add flour, stirring constantly to thicken and prevent lumping. Slowly add milk while stirring constantly. Lower heat and cook 45 minutes; continue stirring occasionally. Serve with grated cheese and pepper.""]",cauliflower+onion
Artichoke And Shrimp Soup,"[""2 Tbsp. butter, melted"", ""2 Tbsp. flour"", ""1 minced onion"", ""1/2 tsp. salt"", ""1/2 tsp. pepper"", ""1 can beef broth"", ""3 cups milk"", ""2 cups grated American cheese (Velveeta may be used)"", ""1/4 cup snipped fresh parsley"", ""1 lb. shrimp"", ""3 cans artichoke hearts (cauliflower or broccoli may be substituted)""]","[""Melt butter; saute onion."", ""Add flour and blend."", ""Stir milk in slowly, stirring until smooth."", ""Add broth and seasonings."", ""Cook until slightly thickened on low heat."", ""Add cheese, parsley and artichokes along with shrimp."", ""Cook about 30-45 minutes."", ""(If fresh cauliflower or broccoli are used, parboil until almost tender before adding to soup.)""]",cauliflower+shrimp
Seafood Macaroni Salad,"[""1 1/2 lb. cooked shrimp, peeled and deveined"", ""1 lb. cooked crab meat"", ""6 c. cooked shell macaroni"", ""2 c. chopped raw cauliflower"", ""2 c. sliced celery"", ""1/4 c. chopped parsley"", ""1 c. chopped sweet pickles"", ""1/4 c. chopped onion"", ""6 boiled eggs, chopped"", ""1 Tbsp. capers, chopped"", ""3 Tbsp. lemon juice"", ""mayonnaise as needed""]","[""Cut large size shrimp into bite sized pieces."", ""Sprinkle with lemon juice."", ""Mix all ingredients together."", ""Chill."", ""Serve on salad greens."", ""Garnish with tomato wedges."", ""Serves 12 to 15.""]",cauliflower+shrimp
Vegetable Pizza,"[""2 cans crescent rolls"", ""2 (8 oz.) pkg. cream cheese"", ""1 c. mayonnaise"", ""1 pkg. dry Ranch style dressing"", ""1/2 c. chopped mushrooms"", ""1/2 c. chopped broccoli"", ""1/2 c. chopped cauliflower"", ""1/2 c. chopped olives (optional)"", ""1 tomato, seeds removed and chopped"", ""3/4 c. cheese, shredded""]","[""Press rolls in 9 x 15-inch pan."", ""Bake at 350\u00b0 for 10 minutes. Spread mixture of cream cheese, mayonnaise and Ranch dressing onto cool crust."", ""Press chopped vegetables and cheese onto mixture. Cut into squares."", ""This dish freezes well.""]",cauliflower+tomato
Vegetable Pizza,"[""2 pkg. refrigerated crescent rolls"", ""1 c. mayonnaise"", ""1 (8 oz.) pkg. cream cheese, softened"", ""1 pkg. dry ranch dressing"", ""1/2 bunch fresh broccoli, cut into florets and finely chopped"", ""1/2 head fresh cauliflower, cut into florets and finely chopped"", ""1/2 green and red pepper, minced"", ""1 lg. carrot, shredded"", ""1 tomato, chopped"", ""1 sm. onion, chopped""]","[""Press crescent rolls onto a cookie sheet. Bake according to package directions. Cool.""]",cauliflower+tomato
Crustless Vegetable Ham Pie,"[""1/4 c. butter"", ""1/4 lb. mushrooms, sliced"", ""1 garlic clove, minced"", ""1 medium zucchini, sliced thinly"", ""1/4 c. chopped onion"", ""1 c. diced, cooked ham"", ""4 eggs"", ""2 c. Ricotta cheese"", ""1 c. shredded Monterey Jack"", ""1 (10 oz.) pkg. frozen spinach, thawed and drained"", ""1/2 tsp. dill weed"", ""salt and pepper""]","[""Preheat oven to 325\u00b0."", ""In large frying pan, melt butter and saute mushrooms, garlic, onion and zucchini until tender, approximately 2 minutes."", ""Add ham and cook 1 more minute; set aside.""]",onion+egg
"Corn ""Oysters""","[""1 can cream-style corn"", ""2 eggs"", ""1/2 tsp. grated onion"", ""8 to 10 finely rolled crackers"", ""salt""]","[""Mix and let stand several hours or overnight."", ""Drop by teaspoon in hot vegetable oil and fry until brown on both sides.""]",onion+egg
Seafood Casserole,"[""2 lb. shrimp"", ""1 lb. scallops"", ""1/4 c. flour"", ""3 Tbsp. butter or margarine"", ""1 c. chopped mushrooms (optional)"", ""1 onion, chopped"", ""1 c. light cream"", ""1 c. buttered Ritz crackers"", ""2 c. water"", ""1/2 c. white wine""]","[""Boil water and wine."", ""Cook shrimp in water 3 minutes."", ""Remove and cook scallops in same liquid for 6 minutes."", ""Reserve 1 cup liquid for later.""]",cauliflower
Seafood And Pasta Salad,"[""1 lb. scallops"", ""1 lb. cooked shrimp"", ""1/2 lb. imitation crab"", ""4 green onions"", ""1 tsp. olive oil"", ""4 boiled eggs"", ""2 c. Best Foods mayonnaise"", ""1 bag tri-colored rotini noodles, cooked and drained""]","[""Boil the noodles, then rinse and put in a bowl which you will be using for serving the salad."", ""Saute scallops in the olive oil. Add the scallops along with the rest of the seafood to the noodles."", ""Dice the green onions (exclude the chive part) and boiled eggs."", ""Add to the salad."", ""Add mayonnaise; use more or less for taste."", ""Mix ingredients together."", ""Ready to serve!""]",cauliflower
Cream Of Broccoli Soup,"[""3 c. chopped broccoli"", ""1 large chopped onion, sauteed in 3 Tbsp. butter"", ""1/2 c. grated carrots"", ""1/2 c. finely chopped cauliflower"", ""3/4 c. chopped celery"", ""2 cans chicken broth"", ""1/2 c. flour"", ""1/2 c. milk"", ""1 can cream of mushroom soup"", ""3 1/2 c. milk"", ""1/4 c. butter"", ""1/2 to 1 lb. cubed Cheddar cheese""]","[""Simmer broccoli, onions, carrots, celery and cauliflower in chicken broth until tender."", ""Mix flour and 1/2 cup milk."", ""Add 3 1/2 cups milk and 1/4 cup butter."", ""Stir until thick."", ""Add cheese, stir until melted."", ""Freezes well.""]",tomato+onion
Broccoli Cauliflower Salad,"[""1 head broccoli, chopped"", ""1/2 head cauliflower, chopped"", ""red onion, chopped to taste"", ""shredded low-fat cheese"", ""bacon bits"", ""1 c. fat-free Miracle Whip"", ""3 pkg. Sweet 'N Low"", ""2 Tbsp. vinegar""]","[""Mix together the Miracle Whip, Sweet 'N Low and vinegar."", ""Pour over chopped vegetables."", ""Add bacon bits and cheese."", ""Best if chilled a couple of hours before serving.""]",tomato+onion
Taco-Filled Green Pepper,"[""1 lb. Ground Beef"", ""1 pkg. taco seasoning"", ""1 san Kidney beans"", ""1 onion, chopped"", ""1 C salsa"", ""4 green peppers"", ""1 medium Tomato, chopped"", ""1/2 C cheddar cheese, shredded"", ""1/2 C sour cream""]","[""In a large skillet, brown the ground beef. Drain, stir in taco mix, kidney beans, and salsa. Bring to a boil. Reduce heat, and let simmer for about 5 minutes. Cut peppers in half and clean it. Put peppers in boiling water for 3 minutes- drain- spoon the meat mixture into the green pepper. Put pepper in an ungreased pan. Cover, and bake at 350 degrees for 15 to 20 minutes or until peppers are crispy and filling is heated through. Top with tomatoes, cheese, and sour cream.""]",onion
Tuna Macaroni Casserole,"[""1 box macaroni and cheese"", ""1 can tuna, drained"", ""1 small jar pimentos"", ""1 medium onion, chopped""]","[""Prepare macaroni and cheese as directed."", ""Add drained tuna, pimento and onion."", ""Mix."", ""Serve hot or cold.""]",onion
Taco Salad Chip Dip,"[""8 oz. Ortega taco sauce"", ""8 oz. sour cream"", ""8 oz. cream cheese"", ""1 lb. ground beef"", ""1 pkg. taco seasoning"", ""shredded lettuce"", ""1 large diced tomato"", ""1 medium diced onion"", ""1 large diced green pepper"", ""shredded Colby or Cheddar cheese""]","[""Mix taco sauce, sour cream and cream cheese."", ""Spread on pizza pan."", ""Brown meat."", ""Drain off fat and add taco seasoning."", ""Spread over cream mixture."", ""Layer with raw vegetables."", ""Top with cheese. Serve with chips.""]",shrimp+onion
Taco Dip,"[""2 (8 oz.) pkg. cream cheese, softened"", ""1/2 c. mayonnaise or salad dressing"", ""8 oz. mild taco sauce"", ""2 to 4 thinly sliced green onions"", ""1/2 green pepper, chopped"", ""1 tomato, chopped"", ""1 c. Mozzarella cheese"", ""1 c. Cheddar cheese"", ""1/2 c. black olives (optional)"", ""tortilla chips""]","[""Mix together cream cheese and mayonnaise."", ""Spread on to a large platter or two dinner plates."", ""Freeze for 15 minutes. Spread taco sauce evenly on top."", ""Layer remaining ingredients in the written order."", ""Serve with tortilla chips.""]",shrimp+onion
Love Stuffed Mushrooms,"[""25 to 30 mushrooms (medium to large size)"", ""1/2 lb. breakfast sausage"", ""1/4 c. minced water chestnuts"", ""1/2 c. minced green onions"", ""1 small can shrimp (broken pieces)"", ""1 egg"", ""1 tsp. soy sauce"", ""1/2 tsp. salt"", ""ground pepper"", ""chopped mushroom stems"", ""sesame seed""]","[""Brush mushrooms and remove stems."", ""Mix all ingredients together and stuff mushrooms. Coat with a little melted butter. Bake at 350\u00b0 for 35 minutes or until done. Serve warm.""]",shrimp+egg
Marinated Shrimp And Artichokes,"[""2 (14 oz.) cans artichoke hearts"", ""1 1/2 lb. cooked, peeled medium shrimp"", ""1 egg"", ""3/4 c. olive oil"", ""1/4 c. vegetable oil"", ""1/2 c. wine vinegar"", ""2 tsp. dry mustard"", ""2 Tbsp. chives"", ""2 Tbsp. chopped scallions"", ""1 tsp. salt"", ""1/4 tsp. pepper""]","[""Chill marinated artichokes and shrimp."", ""Drain and quarter artichokes and combine with shrimp."", ""Beat together the olive and vegetable oils, vinegar, mustard, chives, scallions, salt and pepper."", ""Pour over the shrimp and artichokes."", ""Refrigerate several hours."", ""Serve with toothpicks.""]",shrimp+egg
Salsa Fresca,"[""1 large tomato, seeded and chopped"", ""1/2 c. finely chopped onion"", ""2 jalapenos, seeded and chopped"", ""1/4 c. tomato sauce"", ""1 tsp. salt"", ""2 tsp. cilantro, chopped"", ""ground cumin""]","[""Mix all ingredients together and store in refrigerator for 30 minutes before serving to allow flavors to blend."", ""Yields 1 pint. Keeps for a couple of days in the refrigerator, but not much longer.""]",tomato
Tomato Juice Cocktail,"[""3 1/2 c. chopped tomato"", ""1/2 c. water"", ""1 slice onion"", ""1 stalk celery, chopped"", ""1/2 bay leaf"", ""4 sprigs parsley"", ""1 tsp. salt"", ""1/4 tsp. paprika"", ""1/2 tsp. sugar""]","[""Cook tomatoes, onion, celery, bay leaf and parsley gently together in an enamel or glass saucepan 30 minutes. Strain and season with salt, paprika and sugar. Chill thoroughly.""]",tomato
Pizza Dip,"[""8 oz. cream cheese"", ""1 can small shrimp"", ""1 can chopped ripe olives"", ""1 chopped tomato"", ""1 bottle seafood cocktail sauce"", ""1 pkg. shredded Mozzarella cheese""]","[""On an 8-inch round tray, spread cream cheese, then spread seafood cocktail sauce."", ""Add cheese, shrimp, olives and tomato.""]",tomato+shrimp
Shrimp Platter Dip,"[""8 oz. cream cheese"", ""1/2 c. sour cream"", ""1/4 c. mayonnaise"", ""1 c. catsup"", ""1 c. cocktail sauce"", ""2 cans shrimp"", ""2 c. Mozzarella, shredded"", ""1 c. green pepper"", ""1 chopped onion"", ""1 chopped tomato""]","[""Use a 9 x 12-inch pan."", ""Mix cream cheese, sour cream, mayonnaise, catsup and cocktail sauce."", ""Spread over platter, then pour cocktail sauce, next shrimp."", ""Sprinkle Mozzarella."", ""Next, layer chopped tomato, pepper and onion."", ""Chill.""]",tomato+shrimp
Light And Cheesy Broccoli Casserole,"[""1 (10 oz.) pkg. frozen broccoli, drained"", ""1 c. sour cream"", ""1 c. cottage cheese"", ""1 tomato, peeled and sliced thin"", ""1/4 c. Parmesan cheese"", ""1/2 c. Bisquick"", ""3 eggs""]","[""Beat sour cream, cottage cheese, Bisquick, margarine and eggs. Spread broccoli in an 8 x 8-inch dish."", ""Pour over broccoli. Arrange tomato on top; sprinkle cheese over top."", ""Bake at 350\u00b0 for 30 minutes or until brown and knife comes out clean.""]",tomato+egg
Quiche,"[""10 oz. chopped, cooked and drained broccoli"", ""1 c. sour cream"", ""1 c. cottage cheese"", ""1/2 c. Bisquick"", ""1/4 c. butter or oleo, melted"", ""2 eggs"", ""1 tomato, sliced thin"", ""1/4 c. Parmesan cheese""]","[""Heat oven to 350\u00b0. Grease pie plate. Spread broccoli in pie plate. Beat sour cream, cottage cheese, butter, eggs and Bisquick until smooth. Pour into pie plate. Top with tomato. Sprinkle with Parmesan cheese. Bake about 30 minutes until knife inserted in center comes out clean.""]",tomato+egg
Cabbage And Noodles,"[""1 head cabbage"", ""1 to 2 onions, sliced"", ""1/2 pkg. egg noodles"", ""1 stick butter or oleo""]","[""Cut cabbage and boil until tender."", ""Boil noodles until tender. In a frying pan, saute onions in butter."", ""When onions are tender, add cabbage and noodles."", ""Keep stirring and adding butter, if needed, so it doesn't stick."", ""Add salt and pepper to taste.""]",cabbage
Baked Cabbage,"[""1 lb. ground chuck"", ""1/2 c. chopped onion"", ""1/2 c. rice"", ""1/2 tsp. salt"", ""1 head cabbage"", ""1/2 tsp. pepper"", ""1 can tomato soup"", ""1 1/2 c. water"", ""1/4 c. Mozzarella cheese""]","[""Grease a 13 x 9-inch pan."", ""Cut up cabbage in medium pieces. Spread on bottom of pan."", ""Brown meat and onion."", ""Stir in rice, salt and pepper."", ""Spoon over cabbage."", ""Heat tomato soup and water to boiling."", ""Pour over mixture."", ""Cover with foil."", ""Bake in oven at 350\u00b0 for 1 1/2 hours.""]",cabbage
Pecan Kisses,"[""1 egg white"", ""2/3 c. light brown sugar"", ""1 tsp. vanilla"", ""4 c. whole pecans""]","[""Beat egg white until stiff."", ""Add sugar and vanilla; mix well. Dip 2 or 3 pecans at a time."", ""Place on ungreased baking sheet. Bake at 250\u00b0 for 30 minutes."", ""Leave in oven for 30 more minutes with the oven turned off.""]",egg
Broccoli Casserole,"[""1 pkg. frozen chopped broccoli"", ""1/2 c. mushroom soup"", ""1/2 c. mayonnaise"", ""1 beaten egg"", ""1 small onion, chopped"", ""salt and pepper""]","[""Cook broccoli according to directions on package."", ""Drain. Arrange in dish."", ""Combine other ingredients and cover broccoli. Sprinkle with grated cheese or crushed Ritz crackers."", ""Bake at 350\u00b0 for 40 minutes.""]",egg
Shrimp Dip,"[""8 oz. cream cheese"", ""1/2 c. mayonnaise"", ""1 can shrimp, chopped"", ""1/2 medium onion, chopped fine"", ""1/2 Tbsp. Worcestershire sauce"", ""cayenne pepper (optional)""]","[""Cream together cheese and mayo."", ""Add shrimp and onion, then mix well."", ""Serve with crackers or chips.""]",shrimp
Shrimp Topping For Fish,"[""1/2 lb. peeled, deveined shrimp"", ""3 Tbsp. vegetable oil"", ""2 Tbsp. flour"", ""1/4 c. each: chopped onion, pepper and celery"", ""3 cloves minced garlic"", ""3/4 c. hot water"", ""1 tsp. chicken bouillon"", ""1/4 tsp. seasoned salt"", ""1/4 tsp. white wine"", ""1/4 tsp. paprika"", ""1/2 tsp. hot sauce""]","[""Combine 2 tablespoons oil and flour with whisk in small skillet; cook over medium heat, stirring constantly until light brown."", ""Set aside.""]",shrimp
